producto_codigo,producto_codigo_ministerio,producto_nombre,tippro_nombre,producto_fechacreacion,natcar_nombre,usuario_nombre
108,1203,COPRA,MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
109,1204,"SEMILLA DE LINO,  INCLUSO QUEBRANTADA",MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
110,1205,"SEMILLA DE NABO O DE COLZA,  INCLUSO QUEBRANTADA",MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
111,1206,"SEMILLA DE GIRASOL,  INCLUSO QUEBRANTADA",MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
112,1207,"LAS DEMAS SEMILLAS Y FRUTOS OLEAGINOSOS,  INCLUSO QUEBRANTADOS",MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
113,1208,"HARINA DE SEMILLAS O DE FRUTOS OLEAGINOSOS,  EXCEPTO LA HARINA DE MOSTAZA",MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
114,1209,"SEMILLAS,  FRUTOS Y ESPORAS,  PARA SIEMBRA",MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
115,1210,"CONOS DE LUPULO FRESCOS O SECOS,  INCLUSO QUEBRANTADOS,  MOLIDOS O EN <PELLETS>. LUPULINO",MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
116,1211,"PLANTAS,  PARTES DE PLANTAS,  SEMILLAS Y FRUTOS DE LAS ESPECIES UTILIZADAS PRINCIPALMENTE EN PERFUMERIA,  EN MEDICINA O COMO INSECTICIDAS",MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
117,1212,"ALGARROBAS,  ALGAS,  REMOLACHA AZUCARERA Y CA?A DE AZUCAR,  FRESCAS,  REFRIGERADAS,  CONGELADAS O SECAS,  INCLUSO PULVERIZADAS. HUESOS (CAROZOS) Y ALMENDRAS DE FRUTAS Y DEMAS PRODUCTOS VEGETALES EMPLEADAS PRINCIPALMENTE PARA LA ALIMENTACION HUMANA, N.C.O.P.",MERCANCIAS VARIAS,2010-05-25,NORMAL,ADMINISTRADOR
